Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,2.935,2.799,2.658,3.176,3.848,4.488,4.284,4.752,4.508,5.017,4.851
Millions of Metric tons of CO2,CO2 emissions,0.035,0.031,0.035,0.038,0.042,0.047,0.046,0.043,0.039,0.066,0.068
Millions of Metric tons of CO2,CO2 emissions,4.694,9.411,5.937,4.691,5.054,4.525,5.855,4.682,4.217,3.681,3.951
Millions of Metric tons of CO2,CO2 emissions,0.273,0.265,0.161,0.183,0.219,0.26,0.25,0.237,0.22,0.237,0.261
Millions of Metric tons of CO2,CO2 emissions,8.887,8.589,4.715,6.002,6.772,7.615,7.245,7.999,7.565,6.79,7.027
Millions of Metric tons of CO2,CO2 emissions,0.148,0.143,0.061,0.088,0.099,0.107,0.114,0.139,0.124,0.096,0.092
Millions of Metric tons of CO2,CO2 emissions,0.006,0.005,0.031,0.032,0.038,0.041,0.035,0.037,0.035,0.042,0.043
Millions of Metric tons of CO2,CO2 emissions,2.084,8.708,5.041,5.832,5.724,5.407,3.983,4.67,5.443,4.962,4.97
Millions of Metric tons of CO2,CO2 emissions,0.463,0.469,0.272,0.295,0.418,0.095,0.098,0.096,0.091,0.13,0.131
Millions of Metric tons of CO2,CO2 emissions,0,0,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.126,0.113,0.23,0.264,0.231,0.246,0.23,0.243,0.222,0.216,0.218
Millions of Metric tons of CO2,CO2 emissions,0.378,0.34,0.081,0.417,0.419,0.434,0.461,0.461,0.458,0.522,0.54
Millions of Metric tons of CO2,CO2 emissions,0.662,0.656,0.674,0.638,0.138,0.149,0.142,0.152,0.142,0.174,0.177
Millions of Metric tons of CO2,CO2 emissions,1.905,1.8,1.206,1.36,1.872,2.173,2.083,2.119,2.022,2.448,2.456
Millions of Metric tons of CO2,CO2 emissions,1.747,1.743,1.218,1.26,1.903,2.126,2.095,1.947,1.875,2.429,2.405
Millions of Metric tons of CO2,CO2 emissions,0.195,0.186,0.095,0.084,0.139,0.151,0.151,0.139,0.126,0.176,0.17
Millions of Metric tons of CO2,CO2 emissions,2.34,2.2,1.404,1.458,1.94,2.33,2.268,2.293,2.202,2.751,2.691
Millions of Metric tons of CO2,CO2 emissions,10.162,18.945,11.972,9.074,9.045,10.857,14.575,11.408,11.958,9.331,9.02
Millions of Metric tons of CO2,CO2 emissions,6.925,6.744,6.621,6.96,0.835,0.902,0.887,0.819,0.751,1.041,1.033
Millions of Metric tons of CO2,CO2 emissions,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009,0.009
Millions of Metric tons of CO2,CO2 emissions,2.44,2.358,2.176,2.584,3.235,3.79,3.836,4.213,4.121,4.624,3.9
Millions of Metric tons of CO2,CO2 emissions,0.224,0.241,0.115,0.124,0.229,0.264,0.262,0.248,0.222,0.328,0.331
Millions of Metric tons of CO2,CO2 emissions,2.108,2.027,2.49,2.652,2.573,2.9,2.736,2.845,2.557,2.814,3
Millions of Metric tons of CO2,CO2 emissions,3.488,3.311,2.821,3.025,4.343,4.994,4.989,4.884,4.659,5.414,5.418
Millions of Metric tons of CO2,CO2 emissions,0.003,0.003,0.003,0.004,0.006,0.007,0.007,0.007,0.007,0.01,0.01
Millions of Metric tons of CO2,CO2 emissions,1.914,1.253,0.961,1.058,1.004,0.997,0.904,1.194,1.201,1.28,1.275
Millions of Metric tons of CO2,CO2 emissions,1.311,1.168,0.811,0.874,0.835,0.785,0.794,0.881,0.996,1.259,1.33
Millions of Metric tons of CO2,CO2 emissions,7.158,6.026,6.125,6.462,7.13,7.28,6.774,5.878,6.198,6.325,6.669
Millions of Metric tons of CO2,CO2 emissions,16.309,14.584,15.53,15.391,14.362,13.479,14.236,15.591,16.219,17.032,17.932
Millions of Metric tons of CO2,CO2 emissions,0.247,0.24,0.242,0.272,0.253,0.247,0.226,0.304,0.441,0.517,0.514
Millions of Metric tons of CO2,CO2 emissions,9.156,7.561,8.711,8.085,7.958,6.904,5.182,5.558,5.677,7.267,7.042
Millions of Metric tons of CO2,CO2 emissions,7.38,5.077,5.919,7.334,7.598,6.938,6.521,4.729,3.754,4.729,5.595
Millions of Metric tons of CO2,CO2 emissions,16.445,15,14.977,15.494,18.414,17.281,16.81,16.027,14.414,14.001,14.348
Millions of Metric tons of CO2,CO2 emissions,0.167,0.166,0.19,0.152,0.079,0.108,0.071,0.087,0.094,0.062,0.077
Millions of Metric tons of CO2,CO2 emissions,1.707,1.617,1.049,0.906,2.438,2.678,2.81,2.128,4.267,4.221,4.589
Millions of Metric tons of CO2,CO2 emissions,1.086,1.077,1.176,1.182,0.728,0.722,0.588,0.927,1.068,1.027,1.136
Millions of Metric tons of CO2,CO2 emissions,0.477,0.497,0.54,0.49,0.275,0.36,0.257,0.328,0.524,0.478,0.57
Millions of Metric tons of CO2,CO2 emissions,98.995,83.306,67.272,81.836,86.21,65.327,67.879,78.4,62.9,74.017,63.545
Millions of Metric tons of CO2,CO2 emissions,0.996,0.969,1.016,0.944,0.516,0.723,0.528,0.648,0.734,0.687,0.842
Millions of Metric tons of CO2,CO2 emissions,0.856,0.83,0.746,0.799,0.779,0.785,0.738,0.878,1.059,1.071,1.053
Millions of Metric tons of CO2,CO2 emissions,0.339,0.37,0.237,0.249,0.337,0.553,0.58,0.897,1.012,1.049,1.183
Millions of Metric tons of CO2,CO2 emissions,3.208,3.101,3.036,2.224,2.749,3.049,2.972,3.079,3.475,4.267,3.678
Millions of Metric tons of CO2,CO2 emissions,0.934,1.013,1.121,1.191,1.04,1.114,0.941,1.268,1.29,1.187,1.081
Millions of Metric tons of CO2,CO2 emissions,0.158,0.153,0.15,0.188,0.194,0.198,0.179,0.255,0.352,0.433,0.456
Millions of Metric tons of CO2,CO2 emissions,22.731,20.632,18.724,17.598,15.709,14.288,13.94,13.329,16.601,16.592,16.423
Millions of Metric tons of CO2,CO2 emissions,0.567,0.543,0.536,0.556,0.345,0.497,0.361,0.406,0.448,0.373,0.459
Millions of Metric tons of CO2,CO2 emissions,1.888,1.96,2.202,1.029,0.892,0.747,0.718,0.523,0.576,0.768,0.806
Millions of Metric tons of CO2,CO2 emissions,5.183,5.131,6.174,4.17,5.11,4.938,4.786,6.621,6.999,7.409,7.378
Millions of Metric tons of CO2,CO2 emissions,1.219,0.956,0.851,0.786,0.737,0.968,1.012,0.969,0.965,1.182,1.105
Millions of Metric tons of CO2,CO2 emissions,0.017,0.017,0.018,0.021,0.025,0.08,0.06,0.032,0.047,0.059,0.064
Millions of Metric tons of CO2,CO2 emissions,0.91,0.625,0.524,0.643,0.479,0.356,0.364,0.354,0.281,0.639,0.657
Millions of Metric tons of CO2,CO2 emissions,16.94,12.545,12.829,13.231,9.946,8.344,8.153,8.193,8.562,8.932,10.427
Millions of Metric tons of CO2,CO2 emissions,0.284,0.272,0.272,0.29,0.276,0.286,0.246,0.322,0.355,0.34,0.343
Millions of Metric tons of CO2,CO2 emissions,0.317,0.234,0.163,0.185,0.147,0.107,0.104,0.095,0.058,0.115,0.121
Millions of Metric tons of CO2,CO2 emissions,2.7,2.372,1.931,2.069,2.44,2.481,2.409,1.637,1.532,1.948,1.764
Millions of Metric tons of CO2,CO2 emissions,2.239,1.88,1.779,2.089,2.244,2.336,2.244,1.535,1.405,1.63,1.824
Millions of Metric tons of CO2,CO2 emissions,0.222,0.142,0.141,0.147,0.125,0.137,0.105,0.158,0.167,0.276,0.264
Millions of Metric tons of CO2,CO2 emissions,0.783,0.677,0.678,0.728,0.69,0.718,0.678,0.953,1.209,1.169,1.168
Millions of Metric tons of CO2,CO2 emissions,1.089,1.25,1.566,1.352,1.173,1.237,1.129,1.455,1.56,1.552,1.68
Millions of Metric tons of CO2,CO2 emissions,0.346,0.314,0.283,0.273,0.219,0.214,0.179,0.214,0.23,0.209,0.217
Millions of Metric tons of CO2,CO2 emissions,0.751,0.787,0.9,1.064,1.094,1.091,0.942,1.238,1.456,1.304,1.344
Millions of Metric tons of CO2,CO2 emissions,2.102,2.094,2.947,1.533,1.331,1.252,1.188,0.814,0.626,0.551,0.605
Millions of Metric tons of CO2,CO2 emissions,0.371,0.355,0.342,0.374,0.343,0.317,0.262,0.298,0.326,0.308,0.317
Millions of Metric tons of CO2,CO2 emissions,0.795,0.923,0.693,0.672,0.583,0.445,0.439,0.419,0.603,0.48,0.459
Millions of Metric tons of CO2,CO2 emissions,1.43,0.709,0.633,0.591,0.553,0.526,0.457,0.718,0.882,0.856,0.846
Millions of Metric tons of CO2,CO2 emissions,0.413,0.37,0.38,0.388,0.358,0.384,0.344,0.422,1.077,1.243,1.267
Millions of Metric tons of CO2,CO2 emissions,14.042,12.565,11.917,10.774,10.159,8.097,8.101,7.539,7.697,9.917,10.263
Millions of Metric tons of CO2,CO2 emissions,5.544,4.027,3.252,3.266,2.974,3.157,2.942,3.466,4.66,4.107,4.054
Millions of Metric tons of CO2,CO2 emissions,0.508,0.332,0.275,0.349,0.189,0.22,0.191,0.17,0.504,0.75,0.538
Millions of Metric tons of CO2,CO2 emissions,0.053,0.045,0.054,0.051,0.049,0.046,0.045,0.042,0.047,0.044,0.041
Millions of Metric tons of CO2,CO2 emissions,0.154,0.295,0.216,0.22,0.211,0.205,0.209,0.2,0.192,0.182,0.168
Millions of Metric tons of CO2,CO2 emissions,3.733,2.782,3.399,3.242,2.719,2.438,2.243,2.084,1.551,1.475,1.364
Millions of Metric tons of CO2,CO2 emissions,2.55,2.408,2.323,2.436,2.388,2.456,2.478,2.494,2.961,3.01,2.836
Millions of Metric tons of CO2,CO2 emissions,0.08,0.083,0.082,0.079,0.077,0.075,0.073,0.066,0.147,0.14,0.141
Millions of Metric tons of CO2,CO2 emissions,4.608,2.371,4.756,4.249,3.394,3.539,3.354,3.751,3.261,3.399,3.497
Millions of Metric tons of CO2,CO2 emissions,0.27,0.256,0.246,0.236,0.222,0.204,0.256,0.263,0.194,0.168,0.156
Millions of Metric tons of CO2,CO2 emissions,3.021,2.584,2.395,2.224,2.516,2.158,2.855,2.829,2.773,2.663,1.042
Millions of Metric tons of CO2,CO2 emissions,0.051,0.046,0.049,0.027,0.025,0.021,0.017,0.017,0.016,0.016,0.013
Millions of Metric tons of CO2,CO2 emissions,1.604,1.292,1.563,1.715,1.93,1.876,1.832,1.938,1.638,1.594,1.575
Millions of Metric tons of CO2,CO2 emissions,0.137,0.114,0.124,0.116,0.109,0.1,0.096,0.089,0.105,0.1,0.108
Millions of Metric tons of CO2,CO2 emissions,0.038,0.038,0.045,0.03,0.03,0.029,0.028,0.028,0.026,0.029,0.024
Millions of Metric tons of CO2,CO2 emissions,7.144,7.911,10.057,7.855,7.195,7.227,6.24,5.905,6.972,6.832,6.95
Millions of Metric tons of CO2,CO2 emissions,0.122,0.098,0.12,0.101,0.099,0.092,0.086,0.08,0.075,0.09,0.074
Millions of Metric tons of CO2,CO2 emissions,0.101,0.083,0.103,0.098,0.093,0.089,0.089,0.082,0.076,0.068,0.06
Millions of Metric tons of CO2,CO2 emissions,0.186,0.199,0.185,0.175,0.176,0.189,0.193,0.133,0.133,0.115,0.099
Millions of Metric tons of CO2,CO2 emissions,0.545,0.54,0.537,0.52,0.52,0.474,0.452,0.393,0.409,0.412,0.376
Millions of Metric tons of CO2,CO2 emissions,0.277,0.21,0.245,0.234,0.216,0.203,0.2,0.188,0.201,0.185,0.169
Millions of Metric tons of CO2,CO2 emissions,0.126,0.098,0.115,0.117,0.111,0.105,0.104,0.091,0.074,0.068,0.069
Millions of Metric tons of CO2,CO2 emissions,2.778,3.435,3.515,3.588,3.572,3.594,3.456,3.727,4.041,3.88,3.676
Millions of Metric tons of CO2,CO2 emissions,0.157,0.13,0.155,0.113,0.11,0.098,0.108,0.106,0.098,0.111,0.099
Millions of Metric tons of CO2,CO2 emissions,0.252,0.199,0.192,0.167,0.172,0.13,0.122,0.113,0.115,0.143,0.228
Millions of Metric tons of CO2,CO2 emissions,0.031,0.009,0.012,0.036,0.032,0.042,0.051,0.015,0.02,0.052,0.088
Millions of Metric tons of CO2,CO2 emissions,0.637,0.514,0.722,0.764,0.755,0.713,0.725,0.688,0.789,0.783,0.786
Millions of Metric tons of CO2,CO2 emissions,0.034,0.044,0.028,0.038,0.027,0.022,0.017,0.014,0.016,0.014,0.019
Millions of Metric tons of CO2,CO2 emissions,0.213,0.155,0.174,0.148,0.15,0.148,0.131,0.097,0.111,0.149,0.155
Millions of Metric tons of CO2,CO2 emissions,1.491,1.364,1.377,1.438,1.417,1.131,1.071,1.184,1.094,1.185,1.177
Millions of Metric tons of CO2,CO2 emissions,0.067,0.065,0.062,0.059,0.057,0.053,0.053,0.047,0.061,0.056,0.044
Millions of Metric tons of CO2,CO2 emissions,0.031,0.033,0.028,0.021,0.022,0.021,0.018,0.013,0.015,0.018,0.028
Millions of Metric tons of CO2,CO2 emissions,1.416,1.145,1.179,1.006,0.935,0.78,0.588,0.56,0.534,0.646,0.74
Millions of Metric tons of CO2,CO2 emissions,0.265,0.241,0.218,0.209,0.204,0.188,0.255,0.286,0.203,0.155,0.153
Millions of Metric tons of CO2,CO2 emissions,0.103,0.206,0.074,0.055,0.063,0.078,0.085,0.084,0.066,0.064,0.07
Millions of Metric tons of CO2,CO2 emissions,0.265,0.215,0.275,0.266,0.241,0.241,0.234,0.22,0.224,0.207,0.196
Millions of Metric tons of CO2,CO2 emissions,0.25,0.28,0.277,0.253,0.242,0.216,0.205,0.246,0.206,0.204,0.25
Millions of Metric tons of CO2,CO2 emissions,0.111,0.101,0.095,0.088,0.08,0.079,0.079,0.06,0.054,0.047,0.045
Millions of Metric tons of CO2,CO2 emissions,0.39,0.393,0.443,0.438,0.411,0.407,0.425,0.386,0.441,0.415,0.37
Millions of Metric tons of CO2,CO2 emissions,0.154,0.101,0.109,0.099,0.099,0.076,0.076,0.072,0.067,0.075,0.074
Millions of Metric tons of CO2,CO2 emissions,0.058,0.064,0.094,0.094,0.091,0.087,0.087,0.077,0.062,0.062,0.053
Millions of Metric tons of CO2,CO2 emissions,0.043,0.037,0.041,0.036,0.032,0.031,0.027,0.021,0.024,0.022,0.016
Millions of Metric tons of CO2,CO2 emissions,0.468,1.19,0.491,0.517,0.5,0.467,0.455,0.447,0.461,0.484,0.451
Millions of Metric tons of CO2,CO2 emissions,0.216,0.245,0.237,0.262,0.263,0.26,0.268,0.274,0.236,0.232,0.219
Millions of Metric tons of CO2,CO2 emissions,6.049,7.744,6.001,4.825,3.939,4.49,4.868,3.751,5.704,5.969,7.217
Millions of Metric tons of CO2,CO2 emissions,1.392,1.788,1.177,1.137,1.073,1.12,1.155,1.078,0.685,0.654,0.594
Millions of Metric tons of CO2,CO2 emissions,0.111,0.096,0.113,0.116,0.108,0.101,0.085,0.088,0.15,0.15,0.165
Millions of Metric tons of CO2,CO2 emissions,0.313,0.331,0.337,0.298,0.273,0.248,0.2,0.193,0.195,0.191,0.179
Millions of Metric tons of CO2,CO2 emissions,0.474,0.472,0.458,0.379,0.351,0.391,0.298,0.311,0.331,0.322,0.313
Millions of Metric tons of CO2,CO2 emissions,0.126,0.19,0.23,0.279,0.229,0.173,0.134,0.124,0.119,0.114,0.11
Millions of Metric tons of CO2,CO2 emissions,5.28,5.034,5.324,5.576,5.639,5.612,5.501,5.556,5.854,5.865,6.116
Millions of Metric tons of CO2,CO2 emissions,0.13,0.156,0.183,0.205,0.179,0.126,0.102,0.082,0.135,0.102,0.145
Millions of Metric tons of CO2,CO2 emissions,0.342,0.253,0.315,0.314,0.328,0.315,0.346,0.364,0.346,0.364,0.389
Millions of Metric tons of CO2,CO2 emissions,0.416,0.345,0.322,0.31,0.302,0.283,0.268,0.258,0.221,0.227,0.233
Millions of Metric tons of CO2,CO2 emissions,2.527,2.407,2.331,2.219,2.138,2.328,2.363,1.699,1.797,1.821,1.852
Millions of Metric tons of CO2,CO2 emissions,0.889,0.946,1.057,1.079,1.046,0.91,0.558,0.555,0.56,0.534,0.549
Millions of Metric tons of CO2,CO2 emissions,1.35,1.143,0.867,0.616,0.689,0.732,0.679,0.666,0.649,0.611,0.6
Millions of Metric tons of CO2,CO2 emissions,0.12,0.134,0.141,0.16,0.117,0.09,0.057,0.059,0.062,0.06,0.057
Millions of Metric tons of CO2,CO2 emissions,0.368,0.33,0.261,0.206,0.277,0.331,0.294,0.357,0.366,0.348,0.386
Millions of Metric tons of CO2,CO2 emissions,1.857,1.723,1.866,1.716,1.806,1.831,1.675,1.633,1.727,1.695,1.66
Millions of Metric tons of CO2,CO2 emissions,0.324,0.232,0.177,0.124,0.155,0.187,0.165,0.189,0.195,0.184,0.197
Millions of Metric tons of CO2,CO2 emissions,0.755,0.744,0.787,0.659,0.692,0.713,0.526,0.574,0.594,0.567,0.527
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.706,0.845,0.92,0.852,0.837,0.926,0.923,0.855,0.817,0.827,0.8
Millions of Metric tons of CO2,CO2 emissions,0.767,0.778,0.822,0.773,0.686,0.622,0.435,0.474,0.498,0.476,0.447
Millions of Metric tons of CO2,CO2 emissions,0.205,0.204,0.211,0.172,0.188,0.191,0.152,0.164,0.17,0.166,0.141
Millions of Metric tons of CO2,CO2 emissions,0.665,0.938,1.323,1.627,1.75,1.567,1.459,1.386,1.331,1.372,1.4
Millions of Metric tons of CO2,CO2 emissions,0.425,0.297,0.251,0.174,0.192,0.217,0.195,0.212,0.223,0.214,0.212
Millions of Metric tons of CO2,CO2 emissions,0.321,0.274,0.262,0.199,0.235,0.279,0.261,0.29,0.288,0.27,0.279
Millions of Metric tons of CO2,CO2 emissions,0.077,0.059,0.042,0.109,0.092,0.067,0.023,0.031,0.03,0.121,0.084
Millions of Metric tons of CO2,CO2 emissions,0.014,0.029,0.039,0.054,0.047,0.039,0.033,0.031,0.033,0.027,0.027
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.007,0.006,0.004,0.002,0.004,0.005,0.007,0.007,0.007,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,1.7,1.692,1.734,1.747,1.623,1.616,1.778,1.543,1.607,1.6,1.581
Millions of Metric tons of CO2,CO2 emissions,0.115,0.134,0.162,0.176,0.164,0.153,0.117,0.119,0.12,0.114,0.1
Millions of Metric tons of CO2,CO2 emissions,0.011,0.009,0.006,0.005,0.007,0.008,0.008,0.007,0.008,0.008,0.008
Millions of Metric tons of CO2,CO2 emissions,0.828,0.551,0.588,0.536,0.507,0.508,0.49,0.384,0.342,0.311,0.238
Millions of Metric tons of CO2,CO2 emissions,3.225,2.424,2.058,1.682,1.775,1.866,1.806,1.888,2.07,2.027,1.986
Millions of Metric tons of CO2,CO2 emissions,0.161,0.15,0.136,0.107,0.12,0.115,0.103,0.101,0.094,0.093,0.092
Millions of Metric tons of CO2,CO2 emissions,0.835,0.874,0.892,0.855,0.803,0.806,0.689,0.766,0.781,0.784,0.775
Millions of Metric tons of CO2,CO2 emissions,0.822,0.944,1.068,1.047,1.021,0.991,0.785,0.814,0.837,0.796,0.755
Millions of Metric tons of CO2,CO2 emissions,0.154,0.135,0.12,0.067,0.077,0.072,0.064,0.058,0.058,0.053,0.044
Millions of Metric tons of CO2,CO2 emissions,0.373,0.409,0.461,0.406,0.414,0.409,0.31,0.337,0.35,0.333,0.303
Millions of Metric tons of CO2,CO2 emissions,0.524,0.407,0.395,0.295,0.33,0.383,0.4,0.395,0.366,0.357,0.338
Millions of Metric tons of CO2,CO2 emissions,0.154,0.144,0.135,0.1,0.109,0.112,0.091,0.099,0.098,0.09,0.078
Millions of Metric tons of CO2,CO2 emissions,0.151,0.129,0.142,0.131,0.121,0.113,0.109,0.098,0.094,0.091,0.089
Millions of Metric tons of CO2,CO2 emissions,0.463,0.465,0.494,0.401,0.469,0.484,0.486,0.472,0.465,0.476,0.501
Millions of Metric tons of CO2,CO2 emissions,0.056,0.074,0.098,0.133,0.11,0.097,0.07,0.069,0.072,0.066,0.065
Millions of Metric tons of CO2,CO2 emissions,3.653,6.385,8.031,7.624,7.483,7.185,5.635,7.129,8.535,7.633,7.052
Millions of Metric tons of CO2,CO2 emissions,2.957,2.885,3.258,3.302,3.414,3.603,3.539,3.607,3.618,3.377,3.202
Millions of Metric tons of CO2,CO2 emissions,0.087,0.074,0.06,0.053,0.055,0.063,0.069,0.064,0.065,0.061,0.06
Millions of Metric tons of CO2,CO2 emissions,0.261,0.295,0.265,0.305,0.313,0.322,0.348,0.323,0.283,0.284,0.281
Millions of Metric tons of CO2,CO2 emissions,0.338,0.413,0.402,0.383,0.363,0.378,0.408,0.478,0.341,0.359,0.365
Millions of Metric tons of CO2,CO2 emissions,0.288,0.34,0.298,0.313,0.349,0.392,0.408,0.381,0.453,0.448,0.453
Millions of Metric tons of CO2,CO2 emissions,9.116,8.567,9.609,10.078,10.322,10.659,11.305,11.66,12.547,12.754,13.075
Millions of Metric tons of CO2,CO2 emissions,0.094,0.106,0.107,0.092,0.087,0.094,0.095,0.099,0.073,0.076,0.071
Millions of Metric tons of CO2,CO2 emissions,46.87,44.424,49.805,51.774,49.769,55.092,55.285,53.102,52.154,50.668,57.402
Millions of Metric tons of CO2,CO2 emissions,16.863,15.974,17.816,16.416,14.935,14.919,15.263,14.936,15.478,15.149,13.111
Millions of Metric tons of CO2,CO2 emissions,12.24,11.465,11.132,12.283,13.081,12.939,14.321,13.176,13.555,12.257,10.523
Millions of Metric tons of CO2,CO2 emissions,1.694,1.85,2.27,1.972,1.98,2.041,2.102,2.124,1.734,1.81,1.431
Millions of Metric tons of CO2,CO2 emissions,0.935,0.985,1.049,1.107,1.062,0.968,1.019,0.971,1.135,1.162,1.235
Millions of Metric tons of CO2,CO2 emissions,0.342,0.343,0.357,0.283,0.26,0.269,0.27,0.277,0.269,0.262,0.233
Millions of Metric tons of CO2,CO2 emissions,0.232,0.226,0.242,0.198,0.192,0.191,0.197,0.215,0.222,0.209,0.192
Millions of Metric tons of CO2,CO2 emissions,113.644,105.554,112.957,115.316,115.306,111.269,114.758,117.013,122.078,132.228,127.582
Millions of Metric tons of CO2,CO2 emissions,0.757,0.675,0.77,0.73,0.627,0.611,0.672,0.704,0.808,0.837,0.789
Millions of Metric tons of CO2,CO2 emissions,0.536,0.506,0.509,0.491,0.462,0.472,0.5,0.505,0.449,0.459,0.42
Millions of Metric tons of CO2,CO2 emissions,2.12,1.707,1.602,1.736,1.84,1.694,1.72,1.7,1.796,1.779,2.122
Millions of Metric tons of CO2,CO2 emissions,1.185,1.268,1.27,1.294,1.317,1.229,1.26,1.247,1.248,1.184,1.255
Millions of Metric tons of CO2,CO2 emissions,0.356,0.426,0.392,0.339,0.303,0.348,0.358,0.344,0.377,0.382,0.37
Millions of Metric tons of CO2,CO2 emissions,0.097,0.102,0.113,0.07,0.071,0.08,0.082,0.079,0.077,0.082,0.077
Millions of Metric tons of CO2,CO2 emissions,3.803,4.072,3.912,3.566,3.477,3.597,3.734,4.12,4.935,5.668,5.597
Millions of Metric tons of CO2,CO2 emissions,0.433,0.425,0.464,0.504,0.465,0.452,0.489,0.591,0.462,0.499,0.474
Millions of Metric tons of CO2,CO2 emissions,0.194,0.196,0.208,0.201,0.211,0.2,0.212,0.23,0.26,0.222,0.196
Millions of Metric tons of CO2,CO2 emissions,1.013,1.006,1.267,1.554,1.587,1.234,0.708,0.761,0.531,0.745,0.939
Millions of Metric tons of CO2,CO2 emissions,0.934,0.69,0.813,0.828,0.646,0.596,0.613,0.719,0.783,0.814,0.771
Millions of Metric tons of CO2,CO2 emissions,0.204,0.157,0.181,0.164,0.123,0.11,0.111,0.13,0.138,0.147,0.127
Millions of Metric tons of CO2,CO2 emissions,0.122,0.149,0.169,0.153,0.149,0.141,0.163,0.163,0.149,0.149,0.155
Millions of Metric tons of CO2,CO2 emissions,8.531,7.634,7.859,9.133,8.792,8.818,7.594,7.602,6.755,6.223,5.329
Millions of Metric tons of CO2,CO2 emissions,0.267,0.318,0.31,0.248,0.235,0.241,0.254,0.271,0.182,0.208,0.204
Millions of Metric tons of CO2,CO2 emissions,0.097,0.087,0.09,0.094,0.101,0.097,0.107,0.103,0.097,0.102,0.103
Millions of Metric tons of CO2,CO2 emissions,2.228,2.128,2.332,2.678,2.753,2.644,2.523,2.237,2.111,2.012,2.336
Millions of Metric tons of CO2,CO2 emissions,0.499,0.629,0.541,0.547,0.495,0.501,0.502,0.565,0.661,0.564,0.449
Millions of Metric tons of CO2,CO2 emissions,0.106,0.119,0.134,0.107,0.123,0.126,0.126,0.148,0.106,0.127,0.123
Millions of Metric tons of CO2,CO2 emissions,0.298,0.368,0.333,0.333,0.304,0.326,0.332,0.376,0.299,0.316,0.325
Millions of Metric tons of CO2,CO2 emissions,0.856,0.99,0.9,0.84,0.763,0.787,0.814,0.901,0.697,0.701,0.649
Millions of Metric tons of CO2,CO2 emissions,0.136,0.146,0.142,0.127,0.116,0.125,0.126,0.136,0.138,0.148,0.145
Millions of Metric tons of CO2,CO2 emissions,0.589,0.637,0.587,0.557,0.52,0.58,0.578,0.587,0.553,0.556,0.509
Millions of Metric tons of CO2,CO2 emissions,0.55,0.6,0.601,0.613,0.676,0.599,0.601,0.708,0.73,0.79,0.622
Millions of Metric tons of CO2,CO2 emissions,0.157,0.159,0.152,0.135,0.128,0.132,0.135,0.127,0.137,0.132,0.116
Millions of Metric tons of CO2,CO2 emissions,3.185,2.817,3.371,3.191,3.325,3.375,3.342,3.02,2.458,2.398,2.206
Millions of Metric tons of CO2,CO2 emissions,0.548,0.592,0.691,0.403,0.426,0.417,0.427,0.396,0.389,0.463,0.511
Millions of Metric tons of CO2,CO2 emissions,0.173,0.184,0.172,0.197,0.186,0.171,0.173,0.177,0.153,0.161,0.171
